Year,TotalSystems,TotalStorms,Hurricanes,MajorHurricanes,ACE
1851,6,6,3,1,36
1852,5,5,5,1,73
1853,8,8,4,2,76
1854,5,5,3,1,31
1855,5,5,4,1,18
1856,6,6,4,2,49
1857,4,4,3,0,40
1858,6,6,6,0,45
1859,8,8,7,1,56
1860,7,7,6,1,62
1861,2,2,6,0,50
1862,3,3,3,0,46
1863,4,4,5,0,50
1864,2,2,3,0,27
1865,4,4,3,0,49
1866,7,7,6,1,84
1867,2,2,6,1,60
1868,1,1,3,0,35
1869,3,3,6,1,51
1870,11,11,10,2,88
1871,8,8,6,2,88
1872,5,5,4,0,65
1873,5,5,3,2,69
1874,7,7,4,0,47
1875,6,6,5,1,72
1876,5,5,4,2,57
1877,8,8,3,1,73
1878,12,12,10,1,181
1879,8,8,6,2,64
1880,11,11,9,2,131
1881,7,7,4,0,59
1882,6,6,5,2,59
1883,4,4,3,2,67
1884,4,4,4,1,72
1885,8,8,6,1,58
1886,12,12,10,4,166
1887,19,19,11,2,181
1888,9,9,6,2,85
1889,9,9,6,0,104
1890,4,4,2,1,33
1891,10,10,7,1,116
1892,9,9,5,0,116
1893,12,12,10,5,231
1894,7,7,5,4,135
1895,6,6,2,0,69
1896,7,7,6,2,136
1897,6,6,3,0,55
1898,11,11,5,1,113
1899,9,9,5,2,151
1900,7,7,3,2,83
1901,14,13,6,0,99
1902,5,5,3,0,33
1903,10,10,7,1,102
1904,6,5,3,0,30
1905,5,5,1,1,28
1906,12,11,6,3,163
1907,5,5,0,0,13
1908,13,10,6,1,95
1909,12,12,6,4,93
1910,5,5,3,1,64
1911,9,6,3,0,35
1912,11,7,4,1,57
1913,10,6,4,0,36
1914,1,1,0,0,3
1915,10,6,5,4,130
1916,18,15,10,5,144
1917,9,4,2,2,61
1918,10,6,4,1,40
1919,5,5,2,1,55
1920,5,5,4,0,30
1921,12,7,5,2,87
1922,14,5,3,1,55
1923,10,9,4,1,49
1924,12,11,5,2,100
1925,5,4,1,0,7
1926,11,11,8,6,230
1927,10,8,4,1,56
1928,8,7,4,1,83
1929,5,5,3,1,48
1930,3,3,2,2,50
1931,13,13,3,1,48
1932,15,15,6,4,170
1933,20,20,11,6,259
1934,13,13,7,1,48
1935,10,8,5,3,106
1936,20,17,7,1,100
1937,16,11,4,1,66
1938,15,9,4,2,78
1939,10,6,3,1,34
1940,14,9,6,0,68
1941,6,6,4,3,52
1942,13,11,4,1,63
1943,11,10,5,2,94
1944,21,14,8,3,104
1945,16,11,5,2,63
1946,8,7,3,0,22
1947,15,10,5,2,112
1948,11,10,6,4,106
1949,16,16,7,3,98
1950,16,16,11,6,243
1951,17,12,8,3,137
1952,11,11,5,2,87
1953,14,14,7,3,104
1954,17,16,7,3,113
1955,13,13,9,4,199
1956,18,12,4,1,54
1957,8,8,3,2,84
1958,12,12,7,3,121
1959,14,14,7,2,77
1960,8,8,4,2,88
1961,12,11,8,7,205
1962,10,7,4,0,36
1963,10,10,7,3,118
1964,17,13,7,5,170
1965,10,6,4,1,84
1966,13,11,7,3,145
1967,29,8,6,1,122
1968,10,8,4,0,45
1969,29,18,12,5,166
1970,19,10,5,2,40
1971,23,13,6,1,97
1972,19,7,3,0,36
1973,24,8,4,1,48
1974,21,11,4,2,68
1975,23,9,6,3,76
1976,23,10,6,2,84
1977,16,6,5,1,25
1978,24,12,5,2,63
1979,27,9,5,2,93
1980,15,11,9,2,149
1981,18,12,7,3,100
1982,9,6,2,1,32
1983,7,4,3,1,17
1984,17,13,5,1,84
1985,13,11,7,3,88
1986,10,6,4,0,36
1987,14,7,3,1,34
1988,19,12,5,3,103
1989,15,11,7,2,135
1990,16,14,8,1,97
1991,12,8,4,2,36
1992,9,7,4,1,76
1993,10,8,4,1,39
1994,12,7,3,0,32
1995,21,19,11,5,228
1996,13,13,9,6,166
1997,9,8,3,1,41
1998,14,14,10,3,182
1999,16,12,8,5,177
2000,19,15,8,3,119
2001,17,15,9,4,110
2002,14,12,4,2,67
2003,21,16,7,3,176
2004,17,15,9,6,227
2005,31,28,15,7,250
2006,10,10,5,2,79
2007,17,15,6,2,74
2008,17,16,8,5,146
2009,11,9,3,2,53
2010,21,19,12,5,165
2011,20,19,7,4,126
2012,19,19,10,2,129
2013,15,14,2,0,36
2014,9,8,6,2,67
2015,12,11,4,2,63
2016,16,15,7,4,141
2017,18,17,10,6,224
2018,16,15,8,2,133
2019,20,18,6,3,131
2020,31,30,13,6,180
